"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
42162;2022;"OCTUBRE";"JUEVES";"2022-10-13";19;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.575644;-58.404121;1
42163;2022;"OCTUBRE";"LUNES";"2022-10-17";15;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.580732;-58.427076;1
42164;2022;"SEPTIEMBRE";"VIERNES";"2022-09-30";21;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.592503;-58.430885;1
42165;2022;"OCTUBRE";"MARTES";"2022-10-18";19;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.590882;-58.429478;1
42166;2022;"OCTUBRE";"JUEVES";"2022-10-20";21;"Hurto";"Hurto total";"NO";"NO";"PUERTO MADERO";1;-34.606316;-58.366743;1
42167;2022;"OCTUBRE";"VIERNES";"2022-10-21";22;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.589244;-58.425512;1
42168;2022;"OCTUBRE";"VIERNES";"2022-10-21";20;"Hurto";"Hurto total";"NO";"NO";"NUÑEZ";13;-34.545782;-58.458245;1
42169;2022;"OCTUBRE";"VIERNES";"2022-10-21";20;"Hurto";"Hurto total";"NO";"NO";"NUÑEZ";13;-34.545782;-58.458245;1
42170;2022;"OCTUBRE";"VIERNES";"2022-10-21";22;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.586392;-58.424304;1
42171;2022;"AGOSTO";"LUNES";"2022-08-01";10;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.584529;-58.421429;1
42172;2022;"OCTUBRE";"LUNES";"2022-10-24";9;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.581411;-58.421198;1
42173;2022;"OCTUBRE";"LUNES";"2022-10-24";12;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.597302;-58.421756;1
42174;2022;"OCTUBRE";"MARTES";"2022-10-25";7;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.588693;-58.419728;1
42175;2022;"OCTUBRE";"LUNES";"2022-10-17";23;"Robo";"Robo total";"NO";"NO";"VILLA CRESPO";15;-34.59615401;-58.42704774;1
42176;2022;"OCTUBRE";"MARTES";"2022-10-25";15;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.580701;-58.422584;1
42177;2022;"OCTUBRE";"JUEVES";"2022-10-27";11;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.582541;-58.419619;1
42178;2022;"OCTUBRE";"JUEVES";"2022-10-27";13;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.596563;-58.418729;1
42179;2022;"OCTUBRE";"VIERNES";"2022-10-21";18;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.588686;-58.417919;1
42180;2022;"OCTUBRE";"VIERNES";"2022-10-28";18;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.578422;-58.425714;1
42181;2022;"OCTUBRE";"MIERCOLES";"2022-10-19";14;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.583697;-58.42645;1
42182;2022;"OCTUBRE";"LUNES";"2022-10-31";5;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.587003;-58.41316;1
42183;2022;"OCTUBRE";"VIERNES";"2022-10-28";14;"Hurto";"Hurto total";"NO";"NO";"PALERMO";14;-34.588073;-58.411548;1
